,,,,,,,,,,,,,,,
 ESSID,BSSID, Power, channel,, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
 scxt,40:31:3C:0D:58:C5,-68,5,,54, WPA2, CCMP TKIP,PSK,-68,7,15,   0.  0.  0.  0,4, scxt, 
 HUAWEI-LSE2WQ_HiLink,A4:9B:4F:AC:B2:20,-68,1,,54, WPA2, CCMP,PSK,-68,1,0,   0.  0.  0.  0,20, HUAWEI-LSE2WQ_HiLink, 
 GX-360,C4:36:55:43:70:9B,-69,4,,54, WPA2, CCMP,PSK,-69,19,2,   0.  0.  0.  0,6, GX-360, 
 lyb,50:BD:5F:AE:A7:A2,-64,6,,54, WPA2 WPA, CCMP,PSK,-64,28,0,   0.  0.  0.  0,3, lyb, 
 360WiFi-3B1275,A4:56:02:3B:12:75,-67,9,,54, WPA2, CCMP,PSK,-67,36,10,   0.  0.  0.  0,14, 360WiFi-3B1275, 
 CU_AmGA,9C:32:A9:73:03:31,-64,11,,54, WPA2, CCMP,PSK,-64,22,0,   0.  0.  0.  0,7, CU_AmGA, 
0,FC:D7:33:CA:11:6C,-72,6,,54, WPA2 WPA, CCMP,PSK,-72,12,0,   0.  0.  0.  0,4,0, 
 360\xE6.\xA9\xE6.\xA6\xE4\xB8.\xE7\xBD.-3b1278,A4:56:02:3B:12:78,-69,9,,54, OPN, ,   ,-69,33,9, 192.168.  0.  1,22, 360\xE6.\xA9\xE6.\xA6\xE4\xB8.\xE7\xBD.-3b1278, 
 TP-LINK_702,D0:76:E7:50:13:54,-65,11,,54, WPA2, CCMP,PSK,-65,37,1,   0.  0.  0.  0,11, TP-LINK_702, 
 SungoaStudios,B8:08:D7:71:D4:A8,-74,11,,54, WPA2, CCMP,PSK,-74,35,1,   0.  0.  0.  0,13, SungoaStudios, 
 wdm,BC:54:FC:01:75:FC,-69,10,,54, WPA2, CCMP,PSK,-69,25,2,   0.  0.  0.  0,3, wdm, 
 mmii,88:25:93:30:CA:94,-70,6,,54, WPA2 WPA, CCMP,PSK,-70,17,0,   0.  0.  0.  0,4, mmii, 
 TP-LINK_YYYYYYY,78:44:FD:B2:E2:EB,-72,11,,54, WPA2, CCMP,PSK,-72,40,1,   0.  0.  0.  0,15, TP-LINK_YYYYYYY, 
 yjt,CC:08:FB:12:0F:EE,-63,1,,54, WPA2 WPA, CCMP,PSK,-63,22,2,   0.  0.  0.  0,3, yjt, 
 ziroom1202,D0:76:E7:14:E8:08,-65,1,,54, WPA2, CCMP,PSK,-65,39,0,   0.  0.  0.  0,10, ziroom1202, 
 TP-LINK_8786,24:69:68:62:87:86,-67,1,,54, WPA2 WPA, CCMP,PSK,-67,35,2,   0.  0.  0.  0,12, TP-LINK_8786, 
 CU_DXJP,9C:32:A9:73:10:91,-61,1,,54, WPA2, CCMP,PSK,-61,23,0,   0.  0.  0.  0,7, CU_DXJP, 
 TP-LINK_DCC28E,BC:D1:77:DC:C2:8E,-64,1,,22, WPA2 WPA, CCMP,PSK,-64,18,0,   0.  0.  0.  0,14, TP-LINK_DCC28E, 
 \xE5..\xE5\xA4.\xE4\xB8\xBD\xE5.\xAD903,B8:F8:83:E2:A8:71,-65,1,,54, WPA2, CCMP TKIP,PSK,-65,43,0,   0.  0.  0.  0,15, \xE5..\xE5\xA4.\xE4\xB8\xBD\xE5.\xAD903, 
 \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G,78:44:FD:1B:0A:14,-66,6,,54, WPA2, CCMP TKIP,PSK,-66,30,368,   0.  0.  0.  0,13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
 \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G3,34:96:72:27:1C:9C,-56,1,,54, WPA2 WPA, CCMP,PSK,-56,43,3,   0.  0.  0.  0,14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G3, 
 \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G,78:44:FD:DD:04:5A,-58,11,,54, WPA2, CCMP TKIP,PSK,-58,42,76,   0.  0.  0.  0,13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
 \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G,78:44:FD:1B:0D:84,-54,11,,54, WPA2, CCMP TKIP,PSK,-54,49,202,   0.  0.  0.  0,13, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G, 
 \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G4,34:96:72:26:47:BC,-59,6,,54, WPA2 WPA, CCMP,PSK,-59,47,79,   0.  0.  0.  0,14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G4, 
 \xC9\xBD\xCB\xAE\xCF\xEF2.4G2,28:2C:B2:B5:48:DA,-45,11,,54, WPA2 WPA, CCMP,PSK,-45,62,0,   0.  0.  0.  0,11, \xC9\xBD\xCB\xAE\xCF\xEF2.4G2, 
 sfddwrt,44:48:C1:1A:16:90,-32,1,,54, WPA, TKIP,PSK,-32,75,0,   0.  0.  0.  0,7, sfddwrt, 
 TP-LINK_E2BBFA,5C:63:BF:E2:BB:FA,-34,6,,54, WPA2 WPA, CCMP TKIP,PSK,-34,54,8,   0.  0.  0.  0,14, TP-LINK_E2BBFA, 
 \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G1,FC:D7:33:E7:1B:78,-35,1,,54, WPA2 WPA, CCMP,PSK,-35,54,29,   0.  0.  0.  0,14, \xE5\xB1\xB1\xE6\xB0\xB4\xE5\xB7\xB72.4G1, 
 DIRECT-70-HP M130 LaserJet,FE:01:7C:78:D1:70,-25,6,,54, WPA2, CCMP,PSK,-25,48,0,   0.  0.  0.  0,26, DIRECT-70-HP M130 LaserJet, 
 ,58:EF:68:C0:E4:D5,-1,4,,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
 CU_CGAt,64:13:6C:B0:1C:6D,-71,5,,54, WPA2, CCMP,PSK,-71,4,0,   0.  0.  0.  0,7, CU_CGAt, 
905,00:5A:13:50:DC:40,-71,1,,54, WPA2, CCMP,PSK,-71,8,0,   0.  0.  0.  0,3,905, 
 ,A4:9B:4F:1E:78:30,-1,11,,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
 ziroom1001,78:44:FD:E3:7E:E7,-73,11,,54, WPA2, CCMP,PSK,-73,2,0,   0.  0.  0.  0,10, ziroom1001, 
 MERCURY_1101,1C:60:DE:42:52:A8,-74,11,,54, WPA2 WPA, CCMP,PSK,-74,1,0,   0.  0.  0.  0,12, MERCURY_1101, 
 ,DC:71:37:2E:AA:07,-1,9,,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
 MERCURY_58F2,BC:54:FC:2F:58:F2,-73,11,,54, WPA2, CCMP,PSK,-73,5,0,   0.  0.  0.  0,12, MERCURY_58F2, 
 TP-LINK_5419,30:FC:68:C5:54:19,-72,11,,54, WPA2 WPA, CCMP,PSK,-72,7,1,   0.  0.  0.  0,12, TP-LINK_5419, 
 LL,C8:3A:35:52:FC:18,-70,3,,54, WPA2 WPA, CCMP,PSK,-70,0,0,   0.  0.  0.  0,2, LL, 
 ,B0:95:8E:8E:86:A7,-1,2,,-1, WPA, ,   ,-1,0,266,   0.  0.  0.  0,0, , 
1202,D8:32:14:D7:1D:C0,-70,2,,54, WPA2, CCMP,PSK,-70,1,0,   0.  0.  0.  0,4,1202, 
 TP-LINK_495B0A,F4:EC:38:49:5B:0A,-72,1,,54, WPA2 WPA, CCMP,PSK,-72,1,0,   0.  0.  0.  0,14, TP-LINK_495B0A, 
 CU_eY3P,20:F1:7C:6E:FA:80,-74,7,,54, WPA2, CCMP,PSK,-74,1,0,   0.  0.  0.  0,7, CU_eY3P, 
 Kevin,B0:95:8E:1A:83:1A,-74,11,,54, WPA2, CCMP TKIP,PSK,-74,1,0,   0.  0.  0.  0,5, Kevin, 
 TP-LINK_F8A2,BC:46:99:27:F8:A2,-74,6,,54, WPA2 WPA, CCMP,PSK,-74,1,0,   0.  0.  0.  0,12, TP-LINK_F8A2, 
 ,04:40:A9:2E:F1:1C,-74,1,,54, OPN, ,   ,-74,1,0,   0.  0.  0.  0,0, , 
 ,C4:F0:81:6D:01:F4,-1,1,,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
 CU_403,20:6B:E7:45:CA:46,-76,11,,54, WPA2 WPA, CCMP,PSK,-76,1,0,   0.  0.  0.  0,6, CU_403, 
 D-Link_DIR-816_24,74:DA:DA:E3:D3:97,-74,1,,54, WPA2, CCMP TKIP,PSK,-74,1,0,   0.  0.  0.  0,17, D-Link_DIR-816_24, 
 ,78:44:FD:1B:0E:C4,-1,1,,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , 
,,,,,,,,,,,,,,,
,Station MAC,, Power,, # packets, BSSID, Probed ESSIDs,,,,,,,,
,DA:A1:19:27:B5:20,,-76,,1, (not associated) ,,,,,,,,,
,1C:48:CE:06:36:A9,,-72,,2, 70:AF:6A:21:A9:4B,,,,,,,,,
