Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;tt;E4:D3:32:A2:A2:F0;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;13;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:07 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;CU_9bYS;74:A7:8E:80:4B:3E;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;22;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 14:01:07 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;TP-LINK_E4EC;CC:08:FB:6B:E4:EC;;11;No;WPA2,AES-CCM;No;54.0;0;9;0;0;0;0;0;;;Mon Jul  8 13:58:28 2019;Mon Jul  8 14:01:00 2019;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;gp22;50:BD:5F:14:A2:F5;;3;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Jul  8 13:58:11 2019;Mon Jul  8 14:00:57 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;70:AF:6A:21:A9:4B;;11;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 13:58:00 2019;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;SGM OnStar 9736;F0:AB:54:E9:18:5E;;6;No;WPA2,TKIP;No;54.0;0;1;0;0;0;0;0;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 13:59:52 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;CU_CHNw;88:66:39:92:40:28;;1;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:15 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;TP-LINK_301A66;EC:88:8F:30:1A:66;;6;No;WPA2,WPA,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Mon Jul  8 13:58:08 2019;Mon Jul  8 14:00:54 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;dlink;FC:75:16:99:39:8A;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;5;0;0;0;0;0;;;Mon Jul  8 13:58:08 2019;Mon Jul  8 14:00:34 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;JINGLISHI;38:91:D5:51:8C:20;;6;No;WEP;No;54.0;0;3;0;0;0;0;0;;;Mon Jul  8 13:58:01 2019;Mon Jul  8 13:59:25 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;David-DWQ;20:76:93:21:CD:E8;;13;No;WPA2,AES-CCM;No;54.0;0;11;0;0;0;0;0;;;Mon Jul  8 13:58:09 2019;Mon Jul  8 13:59:54 2019;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;PKUFI-CY;EC:6C:9F:9F:ED:92;;11;No;WPA2,AES-CCM;No;54.0;0;7;0;1;0;0;1;;;Mon Jul  8 13:58:14 2019;Mon Jul  8 14:00:53 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;e101;74:C3:30:76:4C:D2;;13;No;WPA2,AES-CCM;No;54.0;0;27;0;1;0;0;1;;;Mon Jul  8 13:58:09 2019;Mon Jul  8 14:01:02 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;qipaishi;C0:A5:DD:33:58:D1;;12;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Mon Jul  8 13:58:36 2019;Mon Jul  8 14:00:20 2019;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;TP-LINK_F718;C0:61:18:B0:F7:18;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Mon Jul  8 13:58:00 2019;Mon Jul  8 13:59:52 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;bgs;E4:D3:32:E7:E0:D7;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;10;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:00:00 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;wuliqun;F4:28:53:7A:0F:C6;;9;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Jul  8 13:58:47 2019;Mon Jul  8 13:59:29 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;;4C:D1:A1:EC:AA:6D;;1;No;WPA2,AES-CCM;No;54.0;0;20;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:08 2019;-67;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;Danke404;04:40:A9:2E:F1:1E;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;9;0;0;0;0;0;;;Mon Jul  8 13:58:09 2019;Mon Jul  8 14:01:15 2019;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;dandan15888;34:CE:00:40:A7:F6;;1;No;WPA2,AES-CCM,TKIP;No;54.0;0;10;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 13:59:33 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;chenwy;4C:D1:A1:EC:AA:6C;;1;No;WPA2,AES-CCM;No;54.0;0;19;0;4;0;0;4;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:08 2019;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;CU_3eYR;D4:9E:05:20:0F:1F;;9;No;WPA2,AES-CCM;No;54.0;0;16;0;0;0;0;0;;;Mon Jul  8 13:57:58 2019;Mon Jul  8 14:01:11 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;;4C:D1:A1:EC:AA:71;;1;No;WPA2,AES-CCM;No;54.0;0;18;0;0;0;0;0;;;Mon Jul  8 13:58:22 2019;Mon Jul  8 14:01:15 2019;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;zy;C8:3A:35:C9:81:D8;;10;No;WPA2,AES-CCM;No;54.0;0;23;0;10;0;0;10;;;Mon Jul  8 13:57:59 2019;Mon Jul  8 14:01:06 2019;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;888;30:B4:9E:10:3F:94;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 13:58:57 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;TP-LINK_367C;80:89:17:9B:36:7C;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;19;0;0;0;0;0;;;Mon Jul  8 13:57:55 2019;Mon Jul  8 14:01:01 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;PKUFI-CY;EC:6C:9F:9F:ED:79;;6;No;WPA2,AES-CCM;No;54.0;0;8;0;0;0;0;0;;;Mon Jul  8 13:58:36 2019;Mon Jul  8 13:59:52 2019;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;ç§.æ..1;BC:54:FC:7F:5D:AB;;13;No;WPA2,AES-CCM;No;54.0;0;3;0;5;0;0;5;;;Mon Jul  8 13:58:16 2019;Mon Jul  8 14:01:02 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;TP-LINK_D140;78:44:FD:5B:D1:40;;11;No;WPA2,WPA,AES-CCM;No;54.0;0;24;0;0;0;0;0;;;Mon Jul  8 13:58:14 2019;Mon Jul  8 14:00:53 2019;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;603;34:CE:00:35:F6:C8;;4;No;WPA2,AES-CCM,TKIP;No;54.0;0;26;0;17;0;0;17;;;Mon Jul  8 13:58:12 2019;Mon Jul  8 14:01:05 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;HiWiFi_2EF8AC;D4:EE:07:2E:F8:AC;;7;No;WPA2,AES-CCM;No;54.0;0;29;0;0;0;0;0;;;Mon Jul  8 13:58:02 2019;Mon Jul  8 14:01:08 2019;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;scxt;40:31:3C:0D:58:C5;;5;No;WPA2,AES-CCM,TKIP;No;54.0;0;7;0;15;0;0;15;;;Mon Jul  8 13:58:28 2019;Mon Jul  8 13:59:51 2019;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
